id	project	sample	experiment	run	ftp_path	forward	forward_md5	reverse	reverse_md5
CL100063230_L01	CNP0001930	CNS0410446	CNX0381250	CNR0462505	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381250/CNR0462505/	CL100063230_L01_read_1.fq.gz	CL100063230_L01_read_1.fq.gz.md5	CL100063230_L01_read_2.fq.gz	CL100063230_L01_read_2.fq.gz.md5
CL100063230_L02	CNP0001930	CNS0410446	CNX0381250	CNR0462506	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381250/CNR0462506/	CL100063230_L02_read_1.fq.gz	CL100063230_L02_read_1.fq.gz.md5	CL100063230_L02_read_2.fq.gz	CL100063230_L02_read_2.fq.gz.md5
CL100124035_L01	CNP0001930	CNS0410446	CNX0381251	CNR0462507	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462507/	CL100124035_L01_read_1.fq.gz	CL100124035_L01_read_1.fq.gz.md5	CL100124035_L01_read_2.fq.gz	CL100124035_L01_read_2.fq.gz.md5
CL100124035_L02	CNP0001930	CNS0410446	CNX0381251	CNR0462508	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462508/	CL100124035_L02_read_1.fq.gz	CL100124035_L02_read_1.fq.gz.md5	CL100124035_L02_read_2.fq.gz	CL100124035_L02_read_2.fq.gz.md5
CL100124036_L01	CNP0001930	CNS0410446	CNX0381251	CNR0462509	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462509/	CL100124036_L01_read_1.fq.gz	CL100124036_L01_read_1.fq.gz.md5	CL100124036_L01_read_2.fq.gz	CL100124036_L01_read_2.fq.gz.md5
CL100124036_L02	CNP0001930	CNS0410446	CNX0381251	CNR0462510	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462510/	CL100124036_L02_read_1.fq.gz	CL100124036_L02_read_1.fq.gz.md5	CL100124036_L02_read_2.fq.gz	CL100124036_L02_read_2.fq.gz.md5
CL100124037_L01	CNP0001930	CNS0410446	CNX0381251	CNR0462511	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462511/	CL100124037_L01_read_1.fq.gz	CL100124037_L01_read_1.fq.gz.md5	CL100124037_L01_read_2.fq.gz	CL100124037_L01_read_2.fq.gz.md5
CL100124037_L02	CNP0001930	CNS0410446	CNX0381251	CNR0462512	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462512/	CL100124037_L02_read_1.fq.gz	CL100124037_L02_read_1.fq.gz.md5	CL100124037_L02_read_2.fq.gz	CL100124037_L02_read_2.fq.gz.md5
CL100124038_L01	CNP0001930	CNS0410446	CNX0381251	CNR0462513	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462513/	CL100124038_L01_read_1.fq.gz	CL100124038_L01_read_1.fq.gz.md5	CL100124038_L01_read_2.fq.gz	CL100124038_L01_read_2.fq.gz.md5
CL100124038_L02	CNP0001930	CNS0410446	CNX0381251	CNR0462514	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462514/	CL100124038_L02_read_1.fq.gz	CL100124038_L02_read_1.fq.gz.md5	CL100124038_L02_read_2.fq.gz	CL100124038_L02_read_2.fq.gz.md5
CL100124422_L01	CNP0001930	CNS0410446	CNX0381251	CNR0462515	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462515/	CL100124422_L01_read_1.fq.gz	CL100124422_L01_read_1.fq.gz.md5	CL100124422_L01_read_2.fq.gz	CL100124422_L01_read_2.fq.gz.md5
CL100124422_L02	CNP0001930	CNS0410446	CNX0381251	CNR0462516	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381251/CNR0462516/	CL100124422_L02_read_1.fq.gz	CL100124422_L02_read_1.fq.gz.md5	CL100124422_L02_read_2.fq.gz	CL100124422_L02_read_2.fq.gz.md5
CL100075038_L01	CNP0001930	CNS0410446	CNX0381252	CNR0462517	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381252/CNR0462517/	CL100075038_L01_read_1.fq.gz	CL100075038_L01_read_1.fq.gz.md5	CL100075038_L01_read_2.fq.gz	CL100075038_L01_read_2.fq.gz.md5
CL100075038_L02	CNP0001930	CNS0410446	CNX0381252	CNR0462518	/pub/CNSA/data5/CNP0001930/CNS0410446/CNX0381252/CNR0462518/	CL100075038_L02_read_1.fq.gz	CL100075038_L02_read_1.fq.gz.md5	CL100075038_L02_read_2.fq.gz	CL100075038_L02_read_2.fq.gz.md5
